stop_id,stop_name,stop_lat,stop_lon,location_type
740000578,Norra Unnaryd väg 26,57.601487,13.747041,
740000579,Harrå station,67.407185,20.102854,
740000580,Kungälv resecentrum,57.871875,11.968505,
740000583,Asarum Storgatan,56.208993,14.833818,
740000584,Hällevik hamn,56.012282,14.698040,
740000585,Ytterby station,57.862332,11.917246,
740000587,Brokind station,58.220250,15.684465,
740000588,Mjällby centrum,56.045711,14.678034,
740000589,Alfta Centrum,61.344622,16.063003,
740000590,Edsbyn centrum,61.376057,15.818006,
740000591,Hörby busstation,55.856411,13.670567,
740000592,Bergsjö busstn,61.985487,17.057721,
740000593,Valdemarsviks busstation,58.204216,16.603725,
740000594,Nossebro busstation,58.187447,12.718757,
740000596,Hamrångefjärden,60.897854,17.069232,
740000597,Brömsebro E22,56.298521,16.000817,
740000598,Los Norrbyn,61.734850,15.185612,
740000599,Harmånger torget,61.928316,17.217130,
740000600,Tidaholm busstation,58.179529,13.955820,
740000601,Iggesund Konsum,61.642455,17.079719,
740000602,Gnarp station,62.055707,17.244239,
740000603,Lunde lv 332,62.877364,17.863702,
740000604,Undersvik,61.600946,16.306484,
740000605,Vagnhärad station,58.945735,17.496697,
740000606,Ödeshög torget,58.228887,14.653296,
740000607,Gränna hamn,58.028960,14.456045,
740000608,Hjo busstation,58.305228,14.293490,
740000609,Vrigstad busstation,57.356524,14.465944,
740000610,Askersund busstation,58.879267,14.907772,
740000611,Skara busstation,58.383246,13.439057,
740000612,Älvkarleby kraftverk,60.560902,17.444024,
740000613,Skutskär centrum,60.625509,17.412731,
740000615,Arbrå station,61.470321,16.380029,
740000616,Mantorp station,58.348625,15.290731,
740000619,Hörnefors Centrum,63.623605,19.908369,
740000620,Huskvarna station,57.782494,14.265303,
740000622,Stockholm Cityterminalen,59.330844,18.056374,
740000623,Rotebro station,59.476404,17.914337,
740000624,Gislaved busstation,57.304963,13.543007,
740000625,Hyltebruk bussterminal,56.998605,13.237366,
740000627,Marma station,60.490867,17.430611,
740000630,Horndals Bruk station,60.295885,16.413179,
740000631,Hedesunda busstation,60.393633,17.006336,
740000632,Holmsveden station,61.118135,16.721789,
740000633,Järbo busstation,60.715680,16.596060,
740000635,Lingbo station,61.044847,16.672847,
740000636,Ljusne torget,61.211271,17.128716,
740000637,Norrsundet Fabriksplan,60.937959,17.140721,
740000638,Ställdalen station,59.933652,14.943211,
740000639,Sandarne,61.260210,17.145477,
740000640,Årsunda Sörby,60.512010,16.732253,
740000641,Bjursås Korsvägen,60.734456,15.438877,
740000642,Skepplanda Albotorget,57.983511,12.211051,
740000643,Fredriksberg bussplan,60.139534,14.378333,
740000644,Drottningplan Grycksbo,60.687735,15.484873,
740000645,Grönklitt,61.207662,14.539198,
740000646,Sälen Hundfjället hotellet,61.178001,12.965424,
740000647,Idre Konsum,61.857838,12.726197,
740000648,Sälen Lindvallen Snöcentret,61.155181,13.205495,
740000649,Nyhammar torget,60.292045,14.969927,
740000651,Fårösund färjeläge,57.865282,19.057912,
740000653,Pilgrimstad station,62.955127,15.040249,
740000654,Sundborn affären,60.653044,15.774249,
740000655,Svärdsjö centrum,60.741375,15.905460,
740000656,Sälen Högfjällshotellet,61.157610,13.118004,
740000658,Tandådalen Fjällkyrkan,61.177485,12.993999,
740000659,Vikmanshyttan affären,60.297251,15.824942,
740000660,Bålsta station,59.568758,17.532813,
740000661,Gimo bussterminal,60.176448,18.188411,
740000662,Hallstavik station,60.050739,18.594131,
